px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2912	23.9876	3.19186	0.291047	0.0514161	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.52304
66.1887	23.9615	2.69644	0.267829	-0.0124419	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.2541
68.2649	24.3603	2.67364	0.179289	-0.0614765	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.014637
68.3483	24.3902	2.70004	0.183531	-0.0638566	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98788
70.8016	24.8769	2.9113	0.244712	0.0173069	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.448193
70.7615	24.861	2.57933	0.202409	-0.066112	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.00992
72.8917	24.7184	2.599	-0.158838	-0.254414	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.101666
72.9388	24.7321	2.58579	-0.182857	-0.306184	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.708965
75.0287	25.237	2.0985	0.234802	0.146709	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.33855
75.0216	25.2288	2.11393	0.228605	0.148615	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0836086
77.1046	24.9371	2.27848	-0.272717	-0.267136	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.635129
77.1278	24.9361	2.22595	-0.342856	-0.383058	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.289311
79.107	25.012	1.93455	0.0519082	0.111968	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.30393
79.1129	25.0159	1.93102	0.0525883	0.105783	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.025384
80.7964	24.8709	2.03937	-0.0305851	-0.0135815	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0948586
80.8318	24.8706	1.91356	-0.127543	-0.200323	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.56486
82.5893	24.638	2.13799	-0.115904	-0.0625438	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.417749
82.554	24.6239	1.98649	-0.251658	-0.312039	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.616342
84.1714	24.5387	1.87492	-0.0835348	-0.0164421	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.347294
84.1659	24.5415	1.82911	-0.119742	-0.0982631	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.137362
85.6349	23.8159	1.91321	-0.536118	-0.294381	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.146509
85.6875	23.8311	1.96804	-0.51608	-0.289946	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.883099
86.9813	23.4871	1.37709	-0.387304	-0.0550076	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.65172
87.0893	23.522	1.45401	-0.32027	-0.0189032	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.48748
88.7413	22.7985	2.12222	-0.335999	-0.00846519	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.2978
88.6643	22.7649	1.98702	-0.563507	-0.340997	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.20658
89.5733	22.2521	1.14427	-0.734448	-0.276313	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	3.28142
89.6372	22.268	1.21065	-0.598984	-0.068531	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.812441
90.5064	21.6644	1.22337	-0.558208	0.000154862	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0303878
90.5916	21.6888	1.31104	-0.420812	0.1412	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.73114
91.7033	21.1198	1.4541	-0.342916	0.105253	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0932428
91.7441	21.1252	1.41762	-0.448345	-0.119184	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.24164
92.8548	20.9389	1.32396	-0.112379	0.155704	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.330965
92.8987	20.9669	1.23373	-0.121185	0.04164	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.82974
93.5228	20.2398	0.918025	-0.846942	-0.423381	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.56816
93.5918	20.2847	1.04928	-0.579897	-0.0622328	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.37866
95.2008	19.6672	1.97779	0.060675	0.400438	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.64765
94.9913	19.6695	1.41378	-0.203977	0.0698411	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	8.43494
95.5646	19.6901	0.929634	-0.0313726	0.130931	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.46719
95.5644	19.6905	0.903691	-0.0355126	0.120268	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0188463
96.2697	19.1889	0.913643	-0.678604	-0.331851	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.648836
96.3178	19.2133	1.01133	-0.539286	-0.172665	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.608026
